section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1,1702288887833388855,1702288887893424855,60,377.85,516.836,-12.514602850423149,1.736122996055076
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,2,1702288888765419855,1702288888889428855,124,544.374,614.125,-0.024140670934022834,-5.552153647261872
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,3,1702288889065426855,1702288889673559855,608,501.039,452.83,-3.2877447800034,6.551143499280131
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,4,1702288889721539855,1702288889813446855,91,415.785,450.972,-9.709429388428168,6.661289411825536
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,5,1702288889853414855,1702288890257474855,404,524.27,513.474,-1.5323335649231202,2.003536341072814
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,6,1702288890417433855,1702288890629478855,212,444.304,745.689,-7.717191026946502,-15.387775065299858
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,7,1702288890657436855,1702288890809440855,152,448.103,739.315,-7.413732783812863,-14.913434853771985
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,8,1702288890837462855,1702288890945455855,107,453.655,740.181,-6.989112413804398,-14.982811183795201
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,9,1702288890977443855,1702288891097438855,119,506.07,744.833,-2.9686291591627088,-15.361398119117057
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,10,1702288891117417855,1702288891513429855,396,514.13,755.13,-2.3552631908488175,-16.1374645823454
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,11,1702288891537455855,1702288891653438855,115,495.322,770.353,-3.8201668452637785,-17.273885943541213
