section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887833388855,391.752,512.839,1.0,1,,-11.47316111233002,2.036519092822111
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887837402855,385.251,504.985,1.0,1,,-11.964084596696813,2.6204213667059837
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887841574855,376.643,506.394,1.0,1,,-12.609257050500064,2.5132335817986973
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887845413855,381.653,514.619,1.0,1,1,-12.230075983277354,1.901891353186761
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887853439855,386.262,522.356,1.0,1,1,-11.882219852046587,1.3262737329437526
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887857411855,388.704,530.425,1.0,1,1,-11.697726037362358,0.7252068929855661
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887861434855,365.93,529.95,1.0,1,1,-13.405598317811778,0.758551238966726
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887869426855,361.99,507.521,1.0,1,1,-13.70814750280697,2.425533412850295
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887873393855,366.618,528.797,1.0,1,1,-13.354158345874318,0.8444114397146975
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887877539855,363.442,511.067,1.0,1,1,-13.597571516638713,2.1622790863643715
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887881400855,388.775,515.499,1.0,1,1,-11.695587634854544,1.8376779100761182
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887889419855,377.653,517.624,1.0,1,1,-12.529127542407043,1.6773807628743922
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887893424855,367.057,539.445,1.0,,1,-13.320469152544513,0.052441901086374254
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887897408855,357.48,531.183,1.0,,1,-14.039120146783958,0.6661022770745331
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887901423855,341.703,528.348,1.0,,1,-15.222838016574158,0.8749613975832864
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887909392855,322.707,529.995,1.0,,1,-16.64755330087359,0.7506583307820867
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887913384855,325.273,548.846,1.0,,1,-16.45518168219021,-0.6446306934372774
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887917412855,334.335,547.505,1.0,,1,-15.775129794544071,-0.54574728544755
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887921475855,323.658,572.168,1.0,,1,-16.58574476167901,-2.370962827263957
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887929396855,338.299,622.469,1.0,,1,-15.53861395183661,-6.105305949053306
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887933424855,355.685,626.843,1.0,,1,-14.235550886867589,-6.442007230226502
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887937406855,364.537,644.144,1.0,,1,-13.594768605837226,-7.734770793089982
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887942040855,345.423,650.548,1.0,,1,-15.049316202486438,-8.194475267775093
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887949452855,377.872,693.716,1.0,,1,-12.682548005469382,-11.437434222119373
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887953440855,377.019,718.3,1.0,,1,-12.808806972356026,-13.267996390667918
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887957373855,374.84,714.763,1.0,,1,-12.965748655864905,-13.001784260200388
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887961381855,373.265,709.345,1.0,,1,-13.071591524413464,-12.596280882711035
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887969388855,411.862,734.253,1.0,,1,-10.183054298162121,-14.499717235192746
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887973377855,442.714,738.804,1.0,,1,-7.826408686659725,-14.870610203295316
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887977375855,398.484,721.397,1.0,,1,-11.176468598378115,-13.524494313194266
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887981384855,441.202,721.057,1.0,,1,-7.910660092091173,-13.540167289457443
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887989384855,468.474,740.281,1.0,,1,-5.85164218711227,-15.000962211366174
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887993385855,466.53,748.372,1.0,,1,-6.01273492284124,-15.606506397029236
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288887997380855,478.754,772.051,1.0,,1,-5.104506531538249,-17.39188196347466
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288888001381855,513.16,763.217,1.0,,1,-2.435172744164589,-16.74482224325512
