section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288888980585855,-13.47561,12.987805,-0.243902,-0.033997,-0.884521,-0.517395,7.080584048882372,89.50593155422632,,,,,
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288888985525855,-12.560976,11.707317,-0.426829,-0.036377,-0.884155,-0.513855,7.156221523741408,89.01646365673639,,,,,
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288888990465855,-11.463415,10.487805,-0.853659,-0.033569,-0.878601,-0.508911,7.224740187074417,88.53242389740808,,,,,
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288888995405855,-10.670732,9.268292,-1.219512,-0.035461,-0.877014,-0.504333,7.28825186538802,88.05241634522127,,,,,
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288889000345855,-9.634147,7.743903,-1.463415,-0.03772,-0.87616,-0.506042,7.345377584841373,87.57768007823535,,,,,
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288889005285855,-9.085366,6.280488,-1.890244,-0.036926,-0.874084,-0.505127,7.394889129455038,87.10575778351944,,,,,
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288889010225855,-8.780488,4.817073,-2.378049,-0.035522,-0.869873,-0.504883,7.43646090235697,86.63545134253809,,,,,
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288889015165855,-8.47561,3.353659,-2.439024,-0.040588,-0.868591,-0.503357,7.473165953974558,86.16693492479197,,,,,
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288889020105855,-8.292683,2.012195,-2.256098,-0.037537,-0.86731,-0.502686,7.501815427148927,85.69945680515741,,,,,
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288889025045855,-8.353659,0.853659,-2.378049,-0.033325,-0.872253,-0.502075,7.5225190668391235,85.23179734454607,,,,,
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288889029985855,-8.231708,-0.548781,-2.378049,-0.035889,-0.876343,-0.499878,7.537295730358693,84.76502556830297,,,,,
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288889034925855,-8.04878,-2.195122,-2.256098,-0.036011,-0.882996,-0.498352,7.543798902546911,84.29941854641095,,,,,
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288889039865855,-8.170732,-3.780488,-2.134146,-0.032776,-0.886841,-0.499023,7.5408578557783414,83.83342769685578,,,,,
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288889044805855,-7.987805,-5.304878,-2.134146,-0.037231,-0.892395,-0.497925,7.532163597905765,83.36871645161801,,,,,
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288889049745855,-7.682927,-6.463415,-2.012195,-0.037598,-0.896057,-0.499207,7.517761186727938,82.90582888709406,,,,,
35156a0d-a63d-4692-9592-ac72444ce86a,9b39c7ba-68d9-4cda-a4b0-7f1c9d3e8e06,1702288889054685855,-7.378049,-7.743903,-2.012195,-0.037231,-0.896729,-0.499146,7.496715284185711,82.44476216350745,,,,,
