section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
a6369704-8a70-4fcb-a3f5-89c04d1cc1ea,416155d9-4813-448b-bb84-7ed5f2ca1db0,1702289002993243471,-2.256098,0.914634,1.158537,0.386902,-0.925903,-0.340942,6.839593153290878,89.59410821819,,,,,
a6369704-8a70-4fcb-a3f5-89c04d1cc1ea,416155d9-4813-448b-bb84-7ed5f2ca1db0,1702289002998183471,-1.829268,0.792683,1.036585,0.384644,-0.92041,-0.340088,6.678640951894977,89.19032539715892,,,,,
a6369704-8a70-4fcb-a3f5-89c04d1cc1ea,416155d9-4813-448b-bb84-7ed5f2ca1db0,1702289003003123471,-1.402439,0.609756,1.341463,0.381653,-0.912109,-0.336609,6.51672226552688,88.78872452120328,,,,,
a6369704-8a70-4fcb-a3f5-89c04d1cc1ea,416155d9-4813-448b-bb84-7ed5f2ca1db0,1702289003008063471,-0.97561,0.304878,2.073171,0.380798,-0.906311,-0.329834,6.352917380213285,88.38946087593024,,,,,
a6369704-8a70-4fcb-a3f5-89c04d1cc1ea,416155d9-4813-448b-bb84-7ed5f2ca1db0,1702289003013003471,-0.548781,-0.060976,2.743902,0.382202,-0.899902,-0.328552,6.186048721018096,87.9929255956888,,,,,
a6369704-8a70-4fcb-a3f5-89c04d1cc1ea,416155d9-4813-448b-bb84-7ed5f2ca1db0,1702289003017943471,0.060976,-0.426829,3.597561,0.377319,-0.890869,-0.333069,6.018104174242467,87.59920096083732,,,,,
a6369704-8a70-4fcb-a3f5-89c04d1cc1ea,416155d9-4813-448b-bb84-7ed5f2ca1db0,1702289003022883471,0.548781,-0.853659,4.45122,0.379822,-0.883545,-0.338135,5.846384552053195,87.20872088943668,,,,,
a6369704-8a70-4fcb-a3f5-89c04d1cc1ea,416155d9-4813-448b-bb84-7ed5f2ca1db0,1702289003027823471,0.914634,-0.914634,4.939024,0.380798,-0.884521,-0.347595,5.674543599130942,86.82011077719523,,,,,
a6369704-8a70-4fcb-a3f5-89c04d1cc1ea,416155d9-4813-448b-bb84-7ed5f2ca1db0,1702289003032763471,1.158537,-1.036585,5.182927,0.384216,-0.884705,-0.349976,5.501235858436445,86.43323275193785,,,,,
a6369704-8a70-4fcb-a3f5-89c04d1cc1ea,416155d9-4813-448b-bb84-7ed5f2ca1db0,1702289003037703471,1.097561,-1.036585,5.060976,0.381409,-0.886169,-0.349304,5.329451676856991,86.04556539425766,,,,,
