section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
6184b5a5-91f4-4a7b-9b78-dd673e07b867,f10c436a-228b-465f-8c3a-c5be3213245e,1702286282877832788,1.341463,-2.134146,-2.256098,-0.105469,-0.977661,-0.400818,7.035302151184339,89.58127657214595,,,,,
6184b5a5-91f4-4a7b-9b78-dd673e07b867,f10c436a-228b-465f-8c3a-c5be3213245e,1702286282882772788,1.585366,-2.560976,-2.560976,-0.102417,-0.977783,-0.401428,7.067050593770972,89.16362974051992,,,,,
6184b5a5-91f4-4a7b-9b78-dd673e07b867,f10c436a-228b-465f-8c3a-c5be3213245e,1702286282887712788,1.829268,-2.865854,-2.865854,-0.104736,-0.976013,-0.403381,7.0982049881768035,88.74733259312933,,,,,
6184b5a5-91f4-4a7b-9b78-dd673e07b867,f10c436a-228b-465f-8c3a-c5be3213245e,1702286282892652788,1.829268,-3.170732,-2.926829,-0.103455,-0.97345,-0.404724,7.127263420253257,88.331042095454,,,,,
6184b5a5-91f4-4a7b-9b78-dd673e07b867,f10c436a-228b-465f-8c3a-c5be3213245e,1702286282897592788,1.707317,-3.658537,-3.170732,-0.103699,-0.970398,-0.405334,7.153957038527949,87.91424554151592,,,,,
6184b5a5-91f4-4a7b-9b78-dd673e07b867,f10c436a-228b-465f-8c3a-c5be3213245e,1702286282902532788,1.280488,-3.902439,-3.292683,-0.10199,-0.969116,-0.404663,7.178573056762161,87.4953604916742,,,,,
6184b5a5-91f4-4a7b-9b78-dd673e07b867,f10c436a-228b-465f-8c3a-c5be3213245e,1702286282907472788,0.792683,-4.268293,-3.536585,-0.10321,-0.968445,-0.400696,7.2016928179606055,87.07423251212276,,,,,
6184b5a5-91f4-4a7b-9b78-dd673e07b867,f10c436a-228b-465f-8c3a-c5be3213245e,1702286282912412788,0.304878,-4.45122,-3.658537,-0.101929,-0.96814,-0.403198,7.223140923762827,86.65076765274466,,,,,
6184b5a5-91f4-4a7b-9b78-dd673e07b867,f10c436a-228b-465f-8c3a-c5be3213245e,1702286282917352788,0.243902,-4.817073,-3.719512,-0.100708,-0.96228,-0.404968,7.24229367889447,86.22712318596155,,,,,
6184b5a5-91f4-4a7b-9b78-dd673e07b867,f10c436a-228b-465f-8c3a-c5be3213245e,1702286282922292788,-0.243902,-4.878049,-3.780488,-0.101135,-0.953308,-0.40448,7.261489297882406,85.80129580964206,,,,,
6184b5a5-91f4-4a7b-9b78-dd673e07b867,f10c436a-228b-465f-8c3a-c5be3213245e,1702286282927232788,-0.792683,-5.060976,-3.536585,-0.096436,-0.947449,-0.406921,7.277888577599015,85.37276810524315,,,,,
6184b5a5-91f4-4a7b-9b78-dd673e07b867,f10c436a-228b-465f-8c3a-c5be3213245e,1702286282932172788,-1.097561,-5.060976,-3.109756,-0.104431,-0.943115,-0.407593,7.297882151486931,84.94332741665096,,,,,
