section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100532997021,569.906,834.831,1.0,1,,1.9921685234211497,-22.1338559606785
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100533000021,572.685,832.113,1.0,1,,2.2094611511065456,-21.928247679959398
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100541000021,572.836,829.262,1.0,1,,2.2190820300930834,-21.713465703014244
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100545002021,568.516,835.05,1.0,1,,1.8824341446431956,-22.150847310612306
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100549009021,571.237,837.155,1.0,1,,2.099117459796866,-22.30854845500969
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100552999021,566.716,833.719,1.0,1,,1.7393583111754698,-22.051087693831008
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100561028021,572.991,830.416,1.0,1,,2.232252512357271,-21.800295032095626
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100565030021,560.284,824.817,1.0,1,,1.2273846146168235,-21.38208556494826
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100569350021,578.623,826.394,1.0,1,,2.672626645129146,-21.495220193902597
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100573016021,566.068,820.697,1.0,1,,1.6802198448443133,-21.07058192158664
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100581071021,564.965,823.588,1.0,1,,1.595175084325354,-21.288520361303938
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100585017021,562.821,822.186,1.0,1,,1.4257224822248795,-21.18345118327384
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100588994021,566.074,827.579,1.0,1,,1.6848729516752665,-21.588753292417003
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100593021021,561.468,826.041,1.0,1,,1.3211257812040649,-21.474014737185282
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100601008021,577.765,827.173,1.0,1,,2.6057820299436285,-21.554269826098476
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100605020021,580.362,825.205,1.0,1,,2.8084282794846103,-21.40500457364765
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100609011021,586.672,817.521,1.0,1,,3.2962890152279805,-20.823704387056996
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100613101021,578.655,817.36,1.0,1,,2.666583540033465,-20.815185137160793
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100621016021,579.0,821.234,1.0,1,,2.697340053879157,-21.10661247148325
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100625096021,582.235,826.66,1.0,1,,2.957432101379842,-21.513679540417296
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100629064021,583.703,825.267,1.0,1,,3.0715441129160377,-21.408103494939304
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100632997021,574.924,829.62,1.0,1,,2.3840183404938378,-21.739666160651673
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286100641538021,567.23,823.57,1.0,1,,1.7734207711487804,-21.28660211626175
