section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286101706782021,0.487805,3.170732,3.902439,-0.119568,-0.92804,-0.491211,7.070401106503226,89.57811397304056,,,,,
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286101711722021,0.548781,3.414634,4.02439,-0.116211,-0.92572,-0.490845,7.140834523362059,89.15640877301166,,,,,
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286101716662021,0.426829,3.780488,4.207317,-0.112915,-0.932739,-0.49054,7.211428253884094,88.73394976622194,,,,,
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286101721602021,0.426829,3.963415,4.268293,-0.116577,-0.935303,-0.489075,7.284613846113331,88.3117726057502,,,,,
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286101726542021,0.365854,4.146341,4.085366,-0.118958,-0.942627,-0.484497,7.359505101275573,87.88948827563479,,,,,
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286101731482021,0.182927,4.45122,3.658537,-0.120361,-0.94519,-0.487366,7.436467532528809,87.46648245810667,,,,,
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286101736422021,0.121951,4.207317,3.04878,-0.124817,-0.947021,-0.479553,7.514056086843823,87.04354070044906,,,,,
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286101741362021,0.365854,4.146341,2.560976,-0.120239,-0.953064,-0.471863,7.589032142132993,86.62164752417027,,,,,
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286101746302021,0.792683,4.146341,2.195122,-0.123779,-0.941895,-0.480042,7.666136123953919,86.2022981985047,,,,,
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286101751242021,0.853659,3.780488,1.95122,-0.120605,-0.927979,-0.481873,7.740856851691433,85.78335066358875,,,,,
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286101756182021,0.670732,3.902439,2.134146,-0.119629,-0.92334,-0.483643,7.816147340510582,85.36369263814214,,,,,
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286101761122021,0.487805,3.719512,2.195122,-0.124512,-0.928772,-0.481812,7.892411291727427,84.94359407577969,,,,,
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286101766062021,0.182927,3.597561,2.073171,-0.125732,-0.938965,-0.480164,7.9679937977911095,84.52220449137349,,,,,
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286101771002021,0.182927,3.47561,1.829268,-0.125549,-0.945312,-0.482056,8.042451998513911,84.10098103598432,,,,,
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286101775942021,0.365854,3.292683,1.52439,-0.125305,-0.939331,-0.477966,8.11609408721526,83.6809208788062,,,,,
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286101780882021,0.548781,3.04878,1.402439,-0.123901,-0.935181,-0.48114,8.188114959583231,83.26197020947365,,,,,
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286101785822021,0.426829,3.04878,1.585366,-0.127808,-0.933716,-0.480225,8.261947674890905,82.842944667805,,,,,
8616610f-2319-4384-897f-3175cb2c544b,3a0ab4e5-8306-4f68-bfcd-5fa29e1198c7,1702286101790762021,0.487805,2.987805,1.646341,-0.126038,-0.933838,-0.47876,8.334745955072577,82.42441071746771,,,,,
