section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
be16a4c0-b9e1-41c4-8f99-fcefe262829f,dcdbf4a8-adb3-4ec8-90d6-f5f15666582c,1702294106586166570,-5.060976,0.914634,4.329268,-0.100891,-0.668335,-0.814941,7.068460038017662,89.55199003545312,,,,,
be16a4c0-b9e1-41c4-8f99-fcefe262829f,dcdbf4a8-adb3-4ec8-90d6-f5f15666582c,1702294106591106570,-5.487805,1.280488,4.146341,-0.101196,-0.667236,-0.81488,7.139172348948307,89.10196549569139,,,,,
be16a4c0-b9e1-41c4-8f99-fcefe262829f,dcdbf4a8-adb3-4ec8-90d6-f5f15666582c,1702294106596046570,-5.97561,1.646341,4.329268,-0.106445,-0.665894,-0.812256,7.215190607383676,88.65012788538343,,,,,
be16a4c0-b9e1-41c4-8f99-fcefe262829f,dcdbf4a8-adb3-4ec8-90d6-f5f15666582c,1702294106600986570,-6.463415,1.890244,4.207317,-0.106079,-0.667786,-0.814209,7.292170775973801,88.19591764820723,,,,,
be16a4c0-b9e1-41c4-8f99-fcefe262829f,dcdbf4a8-adb3-4ec8-90d6-f5f15666582c,1702294106605926570,-6.707317,2.195122,4.146341,-0.107605,-0.671936,-0.817444,7.371326667706342,87.74070746933546,,,,,
be16a4c0-b9e1-41c4-8f99-fcefe262829f,dcdbf4a8-adb3-4ec8-90d6-f5f15666582c,1702294106610866570,-6.890244,2.5,4.085366,-0.108398,-0.671753,-0.814392,7.452624160539813,87.28481485662786,,,,,
be16a4c0-b9e1-41c4-8f99-fcefe262829f,dcdbf4a8-adb3-4ec8-90d6-f5f15666582c,1702294106615806570,-6.890244,2.865854,4.329268,-0.10968,-0.67218,-0.817383,7.536658408323518,86.82921162000821,,,,,
be16a4c0-b9e1-41c4-8f99-fcefe262829f,dcdbf4a8-adb3-4ec8-90d6-f5f15666582c,1702294106620746570,-6.95122,3.231707,4.390244,-0.111633,-0.672668,-0.815002,7.623768623261782,86.37367262551254,,,,,
be16a4c0-b9e1-41c4-8f99-fcefe262829f,dcdbf4a8-adb3-4ec8-90d6-f5f15666582c,1702294106625686570,-6.95122,3.353659,4.45122,-0.117615,-0.673279,-0.817261,7.7150112862467495,85.91890696202773,,,,,
be16a4c0-b9e1-41c4-8f99-fcefe262829f,dcdbf4a8-adb3-4ec8-90d6-f5f15666582c,1702294106630626570,-6.768293,3.536585,4.512195,-0.121338,-0.677307,-0.816406,7.809034840754208,85.46556471793815,,,,,
be16a4c0-b9e1-41c4-8f99-fcefe262829f,dcdbf4a8-adb3-4ec8-90d6-f5f15666582c,1702294106635566570,-6.707317,3.658537,4.573171,-0.119568,-0.672607,-0.815613,7.9033474319402615,85.01266876980753,,,,,
be16a4c0-b9e1-41c4-8f99-fcefe262829f,dcdbf4a8-adb3-4ec8-90d6-f5f15666582c,1702294106640506570,-6.646342,3.597561,4.573171,-0.123413,-0.670349,-0.811523,7.99987312233759,84.56074220413598,,,,,
be16a4c0-b9e1-41c4-8f99-fcefe262829f,dcdbf4a8-adb3-4ec8-90d6-f5f15666582c,1702294106645446570,-6.646342,3.719512,4.573171,-0.119568,-0.665588,-0.81427,8.095531877059045,84.1087714972249,,,,,
be16a4c0-b9e1-41c4-8f99-fcefe262829f,dcdbf4a8-adb3-4ec8-90d6-f5f15666582c,1702294106650386570,-6.768293,3.414634,4.512195,-0.122009,-0.666809,-0.814392,8.191027797662457,83.65667899440353,,,,,
be16a4c0-b9e1-41c4-8f99-fcefe262829f,dcdbf4a8-adb3-4ec8-90d6-f5f15666582c,1702294106655326570,-6.95122,3.170732,4.390244,-0.124023,-0.664734,-0.816833,8.28668700589381,83.20417864110311,,,,,
