section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,1,1702294198890679710,1702294199186784710,296,470.945,333.755,-5.667450020152742,15.462836093412532
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,2,1702294199258675710,1702294199398670710,139,495.375,650.431,-3.7248785197408507,-8.27232664230707
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,3,1702294199426694710,1702294199974725710,548,492.915,675.829,-3.9248441790069903,-10.177310480038347
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,4,1702294200050685710,1702294200210811710,160,786.545,620.143,18.205594932780947,-5.907096740388507
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,5,1702294200315178710,1702294200638790710,323,476.406,280.398,-5.3268134778022675,19.464872083091294
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,6,1702294200798694710,1702294201326724710,528,508.041,647.833,-2.7674114957724827,-8.079912903008635
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,7,1702294201486746710,1702294201594686710,107,765.432,525.887,16.5548539341218,1.0549267518523242
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,8,1702294201626750710,1702294201766747710,139,786.745,550.862,18.153898564024093,-0.7921238044541201
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,9,1702294201854704710,1702294202434684710,579,490.875,281.731,-4.196380327710492,19.374997053709663
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,10,1702294202510696710,1702294202918828710,408,509.957,639.549,-2.6200944312046475,-7.458420627410153
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,11,1702294202990793710,1702294203746711710,755,548.962,265.675,0.3345010970747307,20.596977458285764
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,12,1702294203834676710,1702294204294685710,460,554.848,690.297,0.7714763136803349,-11.271287362768136
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,13,1702294204370708710,1702294204990698710,619,544.334,331.277,-0.027692261051970993,15.67352414820168
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,14,1702294205078689710,1702294205175087710,96,556.761,735.181,0.9252965528246703,-14.642244487525941
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,15,1702294205198721710,1702294205346698710,147,524.937,729.816,-1.513229199936883,-14.238229515005465
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,16,1702294205418689710,1702294206010696710,592,523.969,370.022,-1.5800958104027858,12.765461205453423
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,17,1702294206098708710,1702294206322800710,224,545.187,722.314,0.037658370071708754,-13.67628955892289
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,18,1702294206398698710,1702294206550690710,151,576.053,326.628,2.414162350134285,16.01761816943678
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,19,1702294206574721710,1702294206894865710,320,536.665,276.94,-0.6270342725392002,19.750800793461337
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,20,1702294207186679710,1702294207270704710,84,814.231,568.789,20.226279964267537,-2.107927569321176
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,21,1702294207294690710,1702294207366897710,72,798.795,556.447,19.06026231791765,-1.202688066421388
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,22,1702294207534699710,1702294207934696710,399,525.448,289.508,-1.497121931352615,18.805660010784653
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,23,1702294208002709710,1702294208190747710,188,620.594,560.162,5.6931884469185166,-1.4986048185053125
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,24,1702294208318679710,1702294208390678710,71,615.081,572.787,5.281741029514724,-2.4453751912383512
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,25,1702294208490804710,1702294208730694710,239,591.246,587.266,3.4955935405997596,-3.533553499583642
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,26,1702294208822682710,1702294208918705710,96,571.48,318.018,2.0666911664924252,16.664706021692595
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,27,1702294208938762710,1702294209266860710,328,541.304,329.278,-0.2608772267124223,15.82339489848248
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,28,1702294209426712710,1702294209566674710,139,667.055,607.183,9.199813553751401,-5.009824942120204
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,29,1702294209714741710,1702294209922754710,208,491.132,324.818,-4.12538706327318,16.144424105606298
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,30,1702294210122745710,1702294210210700710,87,667.863,630.029,9.279770040593217,-6.717284834836421
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,31,1702294210238767710,1702294210335179710,96,709.206,595.912,12.35893221903575,-4.153397560637996
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,32,1702294210538668710,1702294210826707710,288,508.654,301.282,-2.7936976845997186,17.917155425307616
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,33,1702294210898785710,1702294211902692710,1003,572.741,671.284,2.1243896408186114,-9.841669906539769
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,34,1702294211974695710,1702294212118665710,143,570.881,323.816,2.017448028968466,16.229962420938318
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,35,1702294212146707710,1702294212418666710,271,580.414,345.918,2.7371033859329352,14.569694806402156
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,36,1702294212446713710,1702294212670695710,223,526.288,337.002,-1.4134556096051338,15.242484180666631
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,37,1702294212746701710,1702294213318688710,571,543.608,635.157,-0.08192493790791243,-7.131253432783324
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,38,1702294213414735710,1702294213582733710,167,641.912,425.218,7.34446087793743,8.602472842707138
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,39,1702294213630728710,1702294213770678710,139,746.839,532.805,15.15883087375214,0.544402450640751
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,40,1702294213934691710,1702294214310711710,376,513.225,273.363,-2.4603514601489502,20.01391974506318
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,41,1702294214390676710,1702294214766715710,376,577.532,649.224,2.4795941627392084,-8.18491847705363
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,42,1702294214838711710,1702294215310703710,471,553.069,260.932,0.6575617254511238,20.952890131535245
