section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,1702294199801193710,-6.890244,11.402439,-2.743902,-0.142334,-0.503906,-0.87854,7.1725640664514,89.5542352471607,,,,,
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,1702294199806133710,-7.743903,11.280488,-2.682927,-0.143188,-0.500183,-0.876892,7.346366131343473,89.10479236893633,,,,,
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,1702294199811073710,-8.841464,11.219512,-2.439024,-0.142395,-0.500061,-0.880005,7.519686010729799,88.64991568037533,,,,,
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,1702294199816013710,-9.878049,10.853659,-2.256098,-0.13739,-0.502625,-0.883789,7.6873592903017425,88.18889691818362,,,,,
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,1702294199820953710,-10.792684,10.609756,-2.012195,-0.137268,-0.50531,-0.88916,7.853519716397756,87.72336084235519,,,,,
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,1702294199825893710,-11.585366,10.426829,-2.073171,-0.136169,-0.506042,-0.893616,8.01807174727361,87.2538143660608,,,,,
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,1702294199830833710,-12.195122,10.121951,-2.012195,-0.134888,-0.510132,-0.898987,8.17964560374432,86.78097273832827,,,,,
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,1702294199835773710,-12.743903,9.817074,-1.95122,-0.138184,-0.512756,-0.903137,8.341624998797812,86.30608277043171,,,,,
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,1702294199840713710,-13.292684,9.634147,-2.012195,-0.134094,-0.517029,-0.905579,8.499239981136412,85.82768290965441,,,,,
09d5f647-a622-4508-bbe3-34a1c783406a,4f9b3a9d-4089-49e3-bffb-3f0905feb368,1702294199845653710,-13.47561,9.146341,-1.95122,-0.136169,-0.516113,-0.912415,8.656074019465791,85.34898532068405,,,,,
