section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
45894817-a43f-4a62-abf1-14cb0ce37608,87b89f9f-dafa-4cee-b90c-d9fae7ef6cc4,1702294299199914321,-6.280488,0.304878,-0.426829,-0.201965,-0.708679,-0.703247,7.118750236847859,89.55753927018407,,,,,
45894817-a43f-4a62-abf1-14cb0ce37608,87b89f9f-dafa-4cee-b90c-d9fae7ef6cc4,1702294299204854321,-6.890244,-0.243902,0.548781,-0.200623,-0.724854,-0.706665,7.231656954984629,89.11121240644394,,,,,
45894817-a43f-4a62-abf1-14cb0ce37608,87b89f9f-dafa-4cee-b90c-d9fae7ef6cc4,1702294299209794321,-6.768293,-0.792683,0.914634,-0.196838,-0.7323,-0.708496,7.33879535227922,88.6647050586572,,,,,
45894817-a43f-4a62-abf1-14cb0ce37608,87b89f9f-dafa-4cee-b90c-d9fae7ef6cc4,1702294299214734321,-6.585366,-0.97561,1.036585,-0.191467,-0.740784,-0.71637,7.441056946852086,88.21812890959461,,,,,
45894817-a43f-4a62-abf1-14cb0ce37608,87b89f9f-dafa-4cee-b90c-d9fae7ef6cc4,1702294299219674321,-6.158537,-1.219512,1.097561,-0.18512,-0.740479,-0.719971,7.538834888144805,87.77292462262204,,,,,
45894817-a43f-4a62-abf1-14cb0ce37608,87b89f9f-dafa-4cee-b90c-d9fae7ef6cc4,1702294299224614321,-5.97561,-1.341463,0.792683,-0.183289,-0.742371,-0.721741,7.6346793880328505,87.3284110074004,,,,,
45894817-a43f-4a62-abf1-14cb0ce37608,87b89f9f-dafa-4cee-b90c-d9fae7ef6cc4,1702294299229554321,-6.097561,-1.280488,0.487805,-0.191895,-0.74292,-0.723999,7.734883243015588,86.88445425982707,,,,,
45894817-a43f-4a62-abf1-14cb0ce37608,87b89f9f-dafa-4cee-b90c-d9fae7ef6cc4,1702294299234494321,-6.52439,-0.914634,0.243902,-0.189026,-0.740479,-0.724548,7.835561006036926,86.43820458077147,,,,,
45894817-a43f-4a62-abf1-14cb0ce37608,87b89f9f-dafa-4cee-b90c-d9fae7ef6cc4,1702294299239434321,-6.768293,-0.670732,0.182927,-0.185913,-0.73822,-0.728638,7.936001820216973,85.99055931629812,,,,,
45894817-a43f-4a62-abf1-14cb0ce37608,87b89f9f-dafa-4cee-b90c-d9fae7ef6cc4,1702294299244374321,-7.134147,-0.365854,0.548781,-0.189941,-0.721741,-0.725525,8.042030034804782,85.54233386037276,,,,,
45894817-a43f-4a62-abf1-14cb0ce37608,87b89f9f-dafa-4cee-b90c-d9fae7ef6cc4,1702294299249314321,-7.621952,-0.426829,1.219512,-0.19043,-0.710571,-0.723083,8.149597427856577,85.0923779187749,,,,,
45894817-a43f-4a62-abf1-14cb0ce37608,87b89f9f-dafa-4cee-b90c-d9fae7ef6cc4,1702294299254254321,-8.04878,-0.121951,2.195122,-0.182068,-0.712036,-0.724243,8.25456597112057,84.63945806737235,,,,,
