section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1,1702295368961671792,1702295369337709792,376,632.057,719.768,6.675981826674141,-13.45560174812324
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,2,1702295369629780792,1702295369849940792,220,649.952,803.354,8.225761240168675,-19.705166549784185
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,3,1702295369901672792,1702295370161598792,259,535.947,774.896,-0.6776907849694159,-17.627164318152595
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,4,1702295370213629792,1702295370425614792,211,582.212,644.191,2.831284317621707,-7.806464982286628
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,5,1702295370461628792,1702295370685675792,224,569.889,720.224,1.9255195462826562,-13.51681355048013
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,6,1702295370717477792,1702295370977550792,260,552.339,761.18,0.589994824169479,-16.596253548666727
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,7,1702295371025674792,1702295371265713792,240,737.872,836.79,15.275011787380835,-22.049559129119757
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,8,1702295371413638792,1702295371953669792,540,536.853,704.927,-0.5974723492172246,-12.370078341184064
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,9,1702295372045831792,1702295373713523792,1667,628.83,871.873,6.747657583233042,-24.88105904273202
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,10,1702295373925629792,1702295374033619792,107,772.502,748.381,17.52529366679749,-15.406732003117273
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,11,1702295374113545792,1702295374417813792,304,570.803,652.751,1.972422436319332,-8.45063098332244
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,12,1702295374522008792,1702295374909665792,387,712.23,718.57,12.799030593955266,-13.288418861628323
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,13,1702295375009667792,1702295375141641792,131,522.276,617.087,-1.6870791728222057,-5.773734513385573
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,14,1702295375173716792,1702295375405733792,232,613.081,649.518,5.1641252980573595,-8.198624577430087
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,15,1702295375525784792,1702295376297698792,771,642.256,858.09,7.779102918797693,-23.826127689608246
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,16,1702295376369678792,1702295376557734792,188,681.2,576.659,10.244454398005162,-2.72539412899774
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,17,1702295376589621792,1702295376757708792,168,644.471,613.191,7.505612895621101,-5.466682145055914
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,18,1702295376877727792,1702295378229629792,1351,737.441,714.141,14.711743825845499,-12.925336902613356
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,19,1702295378437698792,1702295378601674792,163,557.491,873.401,1.0270853691824902,-25.046077427763628
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,20,1702295378661650792,1702295379093569792,431,665.978,613.475,9.123474638960205,-5.480614365057884
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,21,1702295379177661792,1702295379769507792,591,606.401,850.861,4.9059060896404425,-23.320654332530722
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,22,1702295379797821792,1702295379909805792,111,640.282,824.051,7.5230282321661575,-21.27002606642371
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,23,1702295380017588792,1702295380281875792,264,674.23,627.019,9.756424569998385,-6.489343852705286
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,24,1702295380337608792,1702295380417541792,79,850.486,689.285,23.241622002114973,-10.9079762764841
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,25,1702295380445626792,1702295381185662792,740,701.767,702.214,11.960305085409576,-12.081396692349973
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,26,1702295381233585792,1702295381305663792,72,523.049,709.781,-1.650796833489841,-12.733216078090063
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,27,1702295381353756792,1702295382149886792,796,589.13,843.712,3.522996488461165,-22.794275577056663
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,28,1702295382209828792,1702295382589813792,379,666.794,635.124,9.204266816962159,-7.098747917882355
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,29,1702295382621730792,1702295382945568792,323,629.989,607.62,6.413309815106384,-5.053390236591996
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,30,1702295383013535792,1702295383197919792,184,798.168,722.907,19.385924420092273,-13.474816814466303
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,31,1702295383225675792,1702295383569633792,343,679.867,722.863,10.336133129587282,-13.646073774729174
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,32,1702295383653617792,1702295383761703792,108,465.173,846.968,-6.312370855938443,-23.010646521555273
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,33,1702295383841766792,1702295384685663792,843,595.655,851.356,4.05241704336253,-23.366108142843192
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,34,1702295384757797792,1702295385305692792,547,692.66,605.068,11.123023941712766,-4.842396294131489
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,35,1702295385453608792,1702295385541641792,88,778.943,741.442,17.990514634522768,-14.880706577614081
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,36,1702295385573719792,1702295385701645792,127,689.003,739.818,11.07740754983848,-14.902312418311446
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,37,1702295385729683792,1702295385969813792,240,736.356,742.087,14.720653595822188,-15.004272764635603
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,38,1702295386125514792,1702295386297569792,172,552.747,629.617,0.6066524758033149,-6.715200863249833
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,39,1702295386317702792,1702295386957680792,639,641.055,621.49,7.2539753234927655,-6.089062490425994
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,40,1702295387041707792,1702295387721640792,679,632.011,818.415,6.858452304967719,-20.855797659700624
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,41,1702295387801702792,1702295388165648792,363,688.56,580.847,10.798789671005741,-3.0364322242527075
