section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295368961671792,634.576,732.608,1.0,1,,6.888006597049941,-14.416144045109146
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295368969666792,637.207,731.117,1.0,1,,7.087192479518357,-14.302444241543938
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295368973674792,640.452,732.534,1.0,1,,7.338164374396049,-14.406133413120514
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295368977691792,643.632,735.01,1.0,1,,7.586161873505028,-14.589041959694548
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295368981676792,640.079,731.909,1.0,1,,7.308504099408469,-14.359574127271058
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295368989693792,637.695,719.624,1.0,1,,7.106585866676901,-13.440868844434839
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295368993653792,639.45,719.515,1.0,1,,7.240510171810245,-13.431473167129665
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295368997744792,639.975,721.81,1.0,1,,7.284212059025313,-13.60300849093811
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369005688792,640.032,718.355,1.0,1,,7.283192238001752,-13.34409262926625
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369009687792,640.779,719.401,1.0,1,,7.341924330470255,-13.4219357883498
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369013710792,641.109,718.871,1.0,1,,7.366283138423856,-13.381949941549962
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369017707792,643.481,718.255,1.0,1,,7.546513789333247,-13.33411193109557
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369025566792,640.026,714.915,1.0,1,,7.277523494246717,-13.086415907977916
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369029677792,641.503,719.323,1.0,1,,7.397059113609792,-13.415566662146402
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369033652792,639.414,718.578,1.0,1,,7.236321677706933,-13.361281022186898
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369037729792,635.387,718.907,1.0,1,,6.9291768890158085,-13.388747562345083
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369045721792,644.9,719.95,1.0,1,,7.657686600133346,-13.459922754644712
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369049927792,645.141,720.208,1.0,1,,7.676475743639191,-13.479051538258668
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369053651792,643.93,720.595,1.0,1,,7.584578036434612,-13.50899773189758
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369057664792,642.336,719.109,1.0,1,,7.460417955646853,-13.398883968378996
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369065631792,642.998,725.023,1.0,1,,7.520543699345771,-13.8414104152668
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369069677792,643.204,718.432,1.0,1,,7.525628040490693,-13.347560046237852
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369073657792,642.074,719.518,1.0,1,,7.441059316205846,-13.429735590054367
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369077732792,640.883,724.785,1.0,1,,7.358377694110458,-13.825203274742503
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369085752792,634.53,722.954,1.0,1,,6.869686989876793,-13.692631059869244
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369089651792,638.15,724.768,1.0,1,,7.149319603923843,-13.825979561646221
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369093670792,638.829,726.686,1.0,1,,7.2043252380498615,-13.96921209155033
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369097705792,640.254,719.035,1.0,1,,7.301186272837177,-13.394923568254674
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369105660792,641.925,723.65,1.0,1,,7.436228203665818,-13.739412666910995
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369109694792,644.82,721.447,1.0,1,,7.654001700834423,-13.572135226671518
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369113698792,640.824,720.599,1.0,1,,7.347246277083463,-13.511644839831797
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369117679792,639.763,719.952,1.0,1,,7.265091743603338,-13.46399033081615
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369125643792,639.481,723.82,1.0,1,,7.249598558286511,-13.753940201925278
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369129702792,635.872,717.74,1.0,1,,6.964538584263765,-13.301022850036006
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369133677792,640.775,719.798,1.0,1,,7.342231708477442,-13.451677837832266
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369137682792,642.503,719.704,1.0,1,,7.4740927084638,-13.443345661473645
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369145713792,636.821,713.48,1.0,1,,7.030768189307942,-12.98110740107401
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369149750792,636.24,712.463,1.0,1,,6.985008377595902,-12.905330648048823
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369153587792,634.301,714.865,1.0,1,,6.840450285257504,-13.086647315972675
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369157734792,628.674,716.865,1.0,1,,6.413531867204201,-13.240201556844525
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369165642792,625.035,716.074,1.0,1,,6.134667864164067,-13.183171708556175
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369169664792,624.583,714.025,1.0,1,,6.097563287990344,-13.029797927809787
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369173548792,626.37,713.191,1.0,1,,6.232884698242142,-12.966211187619228
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369177963792,623.755,717.334,1.0,1,,6.0385024276556125,-13.278435158893268
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369185696792,634.488,712.594,1.0,1,,6.851517884217814,-12.916303475688666
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369189555792,632.906,711.64,1.0,1,,6.729515071862347,-12.845847368314828
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369193860792,633.466,712.546,1.0,1,,6.773480821791089,-12.913386840069606
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369197711792,630.31,710.123,1.0,1,,6.529468549710872,-12.73379571116923
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369205698792,632.199,710.211,1.0,1,,6.673675288363623,-12.739232648174335
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369209533792,632.34,713.141,1.0,1,,6.688392616796147,-12.958759207564448
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369213850792,628.731,711.362,1.0,1,,6.4106863195881125,-12.82768602591095
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369218141792,628.905,713.663,1.0,1,,6.426914789045229,-13.00004405271524
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369225532792,627.677,714.242,1.0,1,,6.33398204527911,-13.04418476257742
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369229528792,628.523,714.893,1.0,1,,6.3994176392773126,-13.09245659119156
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369233701792,627.466,711.983,1.0,1,,6.31497024872006,-12.87498998423418
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369237703792,630.24,715.133,1.0,1,,6.530771412411326,-13.109378774874651
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369245507792,625.363,714.217,1.0,1,,6.157312046601824,-13.043722406018123
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369249704792,619.721,709.248,1.0,1,,5.720898338074606,-12.674426293204798
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369253649792,624.677,715.492,1.0,1,,6.106595860796373,-13.139719618393624
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369257663792,621.708,710.765,1.0,1,,5.8742609114812145,-12.78704794800353
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369265648792,621.611,714.202,1.0,1,,5.870947888274594,-13.044844290453415
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369269678792,622.862,711.8,1.0,1,,5.963512187001582,-12.864022616375825
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369273674792,622.697,712.512,1.0,1,,5.951759068284188,-12.917485785269056
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369277718792,618.914,712.654,1.0,1,,5.6632809677615805,-12.930228889318949
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369285678792,619.296,716.277,1.0,1,,5.696710188307025,-13.201717954790164
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369289660792,616.83,713.98,1.0,1,,5.50575976664562,-13.030871328518183
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369293660792,614.033,713.708,1.0,1,,5.292012353466841,-13.01189315080466
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369297677792,618.619,720.764,1.0,1,,5.650317246968072,-13.53860854373492
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369305689792,612.218,723.146,1.0,1,,5.163726876506875,-13.720825601102117
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369309766792,615.736,721.567,1.0,1,,5.430897976947627,-13.600480319801525
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369313773792,617.691,730.861,1.0,1,1,5.591829575820725,-14.296443352529343
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369317642792,620.148,741.178,1.0,1,1,5.794053861455199,-15.068820914166713
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369325728792,610.524,740.894,1.0,1,1,5.054692684452525,-15.053364990801088
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369329676792,612.29,746.662,1.0,1,1,5.197595139384871,-15.48518441847369
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369333700792,607.068,742.078,1.0,1,1,4.790671782685935,-15.144134129542005
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369337709792,621.666,743.788,1.0,,1,5.914351570436762,-15.263533447116988
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369345587792,625.542,764.596,1.0,,1,6.245503762716437,-16.82163903059998
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369349533792,625.115,772.416,1.0,,1,6.226051825060275,-17.408733399475533
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369353706792,642.563,784.721,1.0,,1,7.603915485782409,-18.315903332890773
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369357716792,661.432,804.071,1.0,,1,9.12497788730228,-19.74455730985177
