section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369858047792,-10.792684,1.219512,1.341463,-0.207397,-0.953064,-0.310852,7.0970187029006695,89.52865895078367,,,,,
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369862987792,-11.219512,1.219512,1.463415,-0.205078,-0.959717,-0.312439,7.19251031751773,89.05490879511603,,,,,
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369867927792,-11.585366,1.585366,1.341463,-0.202759,-0.969116,-0.319214,7.28803936403142,88.57903482368204,,,,,
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369872867792,-11.890244,1.707317,1.097561,-0.203125,-0.98053,-0.322083,7.383324262258242,88.10156450311024,,,,,
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369877807792,-12.134147,1.890244,0.97561,-0.204041,-0.987671,-0.318848,7.4792518181068885,87.62294843131292,,,,,
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369882747792,-12.317074,2.317073,0.97561,-0.202454,-0.991699,-0.325012,7.576290649826973,87.14336297508794,,,,,
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369887687792,-12.560976,2.5,0.914634,-0.203796,-0.992188,-0.328003,7.674676116415839,86.6628275460643,,,,,
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369892627792,-13.04878,2.621951,0.487805,-0.203552,-0.99408,-0.331848,7.773230949427727,86.17998300145433,,,,,
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369897567792,-13.353659,2.682927,0.0,-0.204773,-0.994019,-0.33551,7.8723245418266,85.69589433220261,,,,,
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369902507792,-13.780488,2.560976,-0.853659,-0.204224,-0.997375,-0.341187,7.969883545618842,85.20974351126233,,,,,
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369907447792,-14.146341,2.378049,-1.890244,-0.203125,-0.999207,-0.342834,8.06535539887173,84.72180540767783,,,,,
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369912387792,-14.634147,2.012195,-2.987805,-0.203796,-0.994324,-0.349731,8.158941983479167,84.23172521591823,,,,,
a39c79b6-7fad-4d75-97f1-c49772d60eba,f31aeff5-ed0a-4227-9eff-4ab60b423c4a,1702295369917327792,-15.060976,1.768293,-3.841464,-0.20459,-0.97876,-0.359436,8.252185991921834,83.74001890023243,,,,,
