section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1,1702295589481179543,1702295589681190543,200,638.897,782.019,7.313179577478241,-18.11691782373092
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,2,1702295589709306543,1702295590005216543,295,594.409,744.925,3.8210467323357227,-15.364028343799752
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,3,1702295590081169543,1702295590885140543,803,587.852,745.005,3.3171431976808603,-15.372714248252908
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,4,1702295590945142543,1702295591953141543,1007,615.887,909.9,5.811636650223554,-27.767246350715773
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,5,1702295592037189543,1702295593125205543,1088,661.263,671.871,8.829954809191703,-9.849720609562246
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,6,1702295593173207543,1702295593393151543,219,791.177,678.979,18.694215762577915,-10.2453166820977
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,7,1702295593413159543,1702295593545160543,132,806.052,680.491,19.82859999709623,-10.33537917099072
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,8,1702295593601184543,1702295593949148543,347,589.619,672.788,3.403584523141314,-9.951044324040533
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,9,1702295594005168543,1702295594485131543,479,749.903,713.263,15.660386950096647,-12.842257740514015
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,10,1702295594541193543,1702295594933133543,391,570.511,647.118,1.94891516084975,-8.027770365455995
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,11,1702295595001080543,1702295595197303543,196,607.806,866.299,5.049569235328584,-24.482924904071716
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,12,1702295595221211543,1702295595989224543,768,642.229,881.987,7.857199885118904,-25.625572282475105
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,13,1702295596089127543,1702295596265121543,175,702.804,591.932,11.874974704520072,-3.8591218884828224
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,14,1702295596286097543,1702295596417196543,131,642.939,615.954,7.392126977879801,-5.673979361579628
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,15,1702295596549118543,1702295596933340543,384,732.793,671.601,14.247691135503292,-9.769312104315684
