section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589481179543,633.446,775.515,1.0,1,,6.876989924645381,-17.63414809905662
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589485299543,632.644,786.324,1.0,1,,6.836576925236656,-18.445843829770304
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589489166543,632.562,786.112,1.0,1,,6.829750838109515,-18.430051327430963
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589493852543,638.955,783.07,1.0,1,,7.319954101731758,-18.195674240414103
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589501174543,639.393,791.133,1.0,1,,7.371973137109961,-18.800073998111007
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589505233543,631.843,785.022,1.0,1,,6.771675367112311,-18.348870556654767
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589509146543,632.957,781.373,1.0,1,,6.85082101936951,-18.07405593146817
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589513165543,631.872,787.27,1.0,1,,6.778491319191421,-18.517541449323566
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589521178543,630.595,784.741,1.0,1,,6.6741477860957845,-18.32896955139597
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589525212543,626.912,773.533,1.0,1,,6.36714675402673,-17.49110138881685
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589529250543,629.338,770.65,1.0,1,,6.549714825244492,-17.27279634762495
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589533221543,625.521,775.886,1.0,1,,6.263673657317894,-17.66882363074132
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589541173543,632.333,781.376,1.0,1,,6.802375095216735,-18.07485787329195
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589545131543,636.305,786.201,1.0,1,,7.120888775885248,-18.43313437788922
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589549140543,634.1,786.573,1.0,1,,6.950272307687706,-18.46316419001285
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589553154543,632.353,793.798,1.0,1,,6.829615745269608,-19.007019693000075
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589561163543,633.093,788.896,1.0,1,,6.876846022475099,-18.638443859579734
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589565268543,627.784,794.381,1.0,1,,6.47486569558468,-19.055048526534566
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589569181543,633.09,796.685,1.0,1,,6.893289436545831,-19.222968270125328
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589573308543,626.133,791.475,1.0,1,,6.340454499821587,-18.838381354647034
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589581191543,634.577,786.853,1.0,1,,6.987966673828023,-18.483735874772883
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589585248543,633.92,784.094,1.0,1,,6.931094732449023,-18.277301135848422
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589589189543,632.499,787.524,1.0,1,,6.8278018745160045,-18.53603061009777
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589593432543,636.516,784.282,1.0,1,,7.133140977551509,-18.28894855786234
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589601164543,640.979,781.668,1.0,1,,7.474047384769857,-18.08850923422251
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589605202543,637.888,783.885,1.0,1,,7.23890536179675,-18.257849996179424
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589609250543,644.767,784.32,1.0,1,,7.774216800765826,-18.283538900969276
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589613156543,638.494,783.566,1.0,1,,7.285250356387374,-18.23333721146616
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589621168543,640.27,775.201,1.0,1,,7.405079878471764,-17.604283131028218
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589625156543,645.089,775.32,1.0,1,,7.778698348348359,-17.608444803086307
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589629208543,643.807,774.326,1.0,1,,7.677227912146743,-17.53523408546513
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589633122543,646.654,774.444,1.0,1,,7.897955795515372,-17.54122051935914
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589641155543,646.412,774.645,1.0,1,,7.879680743182681,-17.55651127489759
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589645187543,649.159,774.13,1.0,1,,8.09132805048094,-17.51503312136621
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589649178543,653.727,770.588,1.0,1,,8.436613134061563,-17.244788260874053
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589653160543,658.438,769.913,1.0,1,,8.799505528972274,-17.18905221468742
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589661247543,661.312,778.862,1.0,1,,9.044864299510156,-17.856024923604544
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589665173543,656.437,779.385,1.0,1,,8.668121640393943,-17.90086841650692
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589669173543,654.585,778.817,1.0,1,,8.523069718817064,-17.86043571051001
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589673261543,658.749,777.751,1.0,1,,8.843247832268439,-17.775816140135326
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589681190543,647.894,777.893,1.0,,,8.001984440348375,-17.798422007847147
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589685184543,643.05,781.393,1.0,,,7.634218389285411,-18.06583555117429
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589689260543,628.718,778.053,1.0,,,6.515473303779207,-17.828711048690376
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295589693482543,634.933,770.502,1.0,,,6.982330990508759,-17.25682393813304
