section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590341545543,-7.682927,-3.536585,2.5,-0.182251,-0.856445,-0.765564,7.071622558876726,89.54360923199295,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590346485543,-6.341464,-3.536585,2.134146,-0.178833,-0.857605,-0.759033,7.141456295804204,89.09349178168327,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590351425543,-5.182927,-3.597561,1.890244,-0.178711,-0.856384,-0.75592,7.210949678854234,88.6491382878483,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590356365543,-3.902439,-3.658537,1.52439,-0.178955,-0.852661,-0.752808,7.280476310232672,88.21125353132146,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590361305543,-2.865854,-3.841464,1.219512,-0.180603,-0.852905,-0.748108,7.349681355375537,87.77870641235194,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590366245543,-1.585366,-3.841464,0.731707,-0.179688,-0.849609,-0.741455,7.4185731521044715,87.3525359266722,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590371185543,-0.609756,-3.841464,0.182927,-0.179382,-0.845764,-0.731567,7.4874387396411635,86.93131578300688,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590376125543,0.182927,-4.146341,-0.609756,-0.177612,-0.844116,-0.727478,7.553787117371087,86.51395780844956,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590381065543,0.853659,-4.268293,-1.280488,-0.175232,-0.843201,-0.71582,7.618160658407504,86.09980309758907,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590386005543,1.219512,-4.207317,-1.890244,-0.174988,-0.844971,-0.710266,7.682144075748539,85.68750229078364,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590390945543,1.646341,-4.45122,-2.5,-0.180054,-0.842346,-0.700378,7.746988110884274,85.27794230577086,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590395885543,1.768293,-4.756098,-2.743902,-0.176392,-0.83783,-0.69397,7.808765485670762,84.86887212069075,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590400825543,1.768293,-5.0,-2.926829,-0.175781,-0.832458,-0.691345,7.8692140473991685,84.45999988318937,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590405765543,1.95122,-5.0,-3.170732,-0.171997,-0.828369,-0.684265,7.927945955978998,84.05191799084457,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590410705543,2.134146,-5.243903,-3.231707,-0.175842,-0.831543,-0.672852,7.986600294152225,83.64522058320449,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590415645543,2.378049,-5.54878,-3.47561,-0.176147,-0.837585,-0.671082,8.042903118254173,83.23981940459169,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590420585543,2.804878,-5.914634,-3.719512,-0.173767,-0.839844,-0.667786,8.095708771201402,82.8364596400275,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590425525543,3.292683,-6.158537,-4.268293,-0.172058,-0.840454,-0.663147,8.145852390190981,82.4355131499147,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590430465543,3.719512,-6.52439,-4.634146,-0.166321,-0.835938,-0.662537,8.191493456576808,82.03644210698576,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590435405543,4.02439,-6.829268,-4.817073,-0.164734,-0.83136,-0.662781,8.234840353394247,81.63902217646108,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590440345543,4.329268,-7.012195,-5.0,-0.161255,-0.824402,-0.65979,8.275847478858367,81.24313945822041,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590445285543,4.695122,-7.256098,-4.634146,-0.164124,-0.814087,-0.656677,8.317714222079161,80.8497477711104,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590450225543,5.121951,-7.317073,-4.45122,-0.161499,-0.80896,-0.652954,8.358347742253414,80.45858735467226,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590455165543,5.426829,-7.439024,-4.207317,-0.161621,-0.806763,-0.650818,8.398476129259649,80.06925639123631,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590460105543,5.54878,-7.378049,-4.207317,-0.157471,-0.811646,-0.646301,8.436317921208797,79.68037033035046,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590465045543,5.914634,-7.439024,-4.45122,-0.154785,-0.815063,-0.642151,8.471849345329503,79.29326860442092,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590469985543,5.97561,-7.439024,-4.573171,-0.156372,-0.81665,-0.642883,8.50747418945457,78.90682176924236,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590474925543,5.853659,-7.317073,-4.939024,-0.15686,-0.818115,-0.645874,8.543061050744683,78.52000503901968,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590479865543,5.426829,-7.195122,-5.243903,-0.154175,-0.816101,-0.647705,8.577554591557345,78.13112451473108,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590484805543,4.817073,-7.195122,-5.304878,-0.15448,-0.810364,-0.644043,8.61220236548138,77.7396111751259,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590489745543,4.146341,-6.890244,-5.060976,-0.154419,-0.804443,-0.64209,8.648644908645764,77.34517135240316,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590494685543,3.536585,-6.829268,-5.060976,-0.156311,-0.808838,-0.636353,8.685496552161084,76.948123799124,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590499625543,3.04878,-6.829268,-5.121951,-0.158752,-0.820129,-0.631592,8.722075926049143,76.54902751325403,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590504565543,2.804878,-6.890244,-5.304878,-0.157471,-0.833069,-0.627136,8.756256372715768,76.14878311890794,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590509505543,2.987805,-6.95122,-5.97561,-0.159729,-0.836792,-0.631104,8.789598892442314,75.74977258661204,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590514445543,3.353659,-6.95122,-6.280488,-0.160034,-0.832703,-0.629883,8.822602854826272,75.35291308205643,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590519385543,3.536585,-7.073171,-6.280488,-0.157959,-0.834717,-0.630371,8.853600613127156,74.9571068469703,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590524325543,3.719512,-6.890244,-6.52439,-0.160095,-0.836243,-0.62677,8.885530072961387,74.56263548421427,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590529265543,4.02439,-6.829268,-6.646342,-0.161438,-0.835388,-0.621948,8.91781693781516,74.17010110611557,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590534205543,4.207317,-6.95122,-6.280488,-0.159363,-0.842041,-0.614014,8.948318518695146,73.77868729034893,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590539145543,4.512195,-6.95122,-6.463415,-0.15979,-0.85022,-0.609131,8.97778216954373,73.38906228032994,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590544085543,4.512195,-6.95122,-6.95122,-0.15918,-0.852844,-0.605591,9.00574379718364,72.99965018352162,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590549025543,4.390244,-6.768293,-7.317073,-0.15686,-0.850891,-0.604797,9.032836418077238,72.60977272835339,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590553965543,4.085366,-6.768293,-7.439024,-0.159058,-0.8396,-0.601929,9.061034273780507,72.21897691049693,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590558905543,3.536585,-6.646342,-7.378049,-0.160645,-0.827148,-0.604187,9.09100972695731,71.82602530541524,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590563845543,2.621951,-6.341464,-7.5,-0.161987,-0.820312,-0.606262,9.122837045659367,71.4290061015815,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590568785543,1.768293,-6.219512,-7.378049,-0.163391,-0.814331,-0.603271,9.156040604955024,71.02830904385499,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590573725543,1.097561,-6.036585,-7.195122,-0.164856,-0.813843,-0.601318,9.190610512962138,70.62479694952793,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590578665543,0.304878,-5.731708,-7.256098,-0.169006,-0.813782,-0.602539,9.227749483581448,70.21798879450935,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590583605543,-0.426829,-5.54878,-7.073171,-0.168823,-0.816589,-0.609802,9.265249298556341,69.80784532555776,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590588545543,-1.036585,-5.182927,-6.768293,-0.165588,-0.82489,-0.61145,9.302596210313595,69.39477000299166,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590593485543,-1.646341,-4.756098,-6.463415,-0.163086,-0.830994,-0.610229,9.340593693895755,68.97887189950063,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590598425543,-2.439024,-4.512195,-6.158537,-0.164795,-0.838379,-0.6026,9.38005662374482,68.55960762816173,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590603365543,-2.682927,-4.146341,-5.670732,-0.163147,-0.847839,-0.598999,9.42040095991166,68.13945045160676,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590608305543,-2.926829,-3.963415,-5.426829,-0.162964,-0.846802,-0.596069,9.461673223228786,67.718532325474,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590613245543,-3.170732,-3.719512,-5.182927,-0.166443,-0.841309,-0.598572,9.505860058620499,67.29706403369323,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590618185543,-3.353659,-3.597561,-5.121951,-0.162842,-0.839111,-0.597717,9.549102043127505,66.87486736348922,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590623125543,-3.353659,-3.414634,-5.121951,-0.165771,-0.843811,-0.595032,9.593639914170893,66.45323884069666,,,,,
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1702295590628065543,-3.353659,-3.292683,-5.54878,-0.166687,-0.850159,-0.594116,9.637431115008042,66.03193924853286,,,,,
