section id,recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,1,1702295677639401690,1702295677999394690,359
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,2,1702295682199379690,1702295682575381690,376
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,3,1702295686543419690,1702295686891352690,347
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,4,1702295689379351690,1702295689759383690,380
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,5,1702295700395323690,1702295700836231690,440
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,6,1702295702599748690,1702295702931431690,331
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,7,1702295703615522690,1702295704063468690,447
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,8,1702295715935435690,1702295716299525690,364
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,9,1702295721075432690,1702295721459322690,383
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,10,1702295731795348690,1702295731995485690,200
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,11,1702295734651427690,1702295735131593690,480
