section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,1702295676144586690,-12.195122,-5.304878,-0.609756,-0.213013,-0.836792,-0.603333,7.079318687381516,89.52516200907604,,,,,
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,1702295676149526690,-12.317074,-4.878049,-0.487805,-0.213379,-0.831909,-0.610352,7.161262710983181,89.04988491513768,,,,,
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,1702295676154466690,-12.560976,-4.634146,-0.243902,-0.213806,-0.829712,-0.614624,7.244659635517678,88.57352469282972,,,,,
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,1702295676159406690,-12.743903,-4.268293,-0.243902,-0.213806,-0.824768,-0.620422,7.330216888475775,88.0964384051461,,,,,
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,1702295676164346690,-12.987805,-3.841464,0.060976,-0.215881,-0.825439,-0.621216,7.418580311792283,87.61843576239744,,,,,
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,1702295676169286690,-13.170732,-3.353659,0.182927,-0.217041,-0.828491,-0.62384,7.509325735025612,87.13965693717819,,,,,
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,1702295676174226690,-13.414635,-2.804878,0.426829,-0.218933,-0.829407,-0.626404,7.6033748727426484,86.6599821384682,,,,,
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,1702295676179166690,-13.658537,-2.134146,0.731707,-0.218201,-0.832581,-0.632019,7.699919330645173,86.17906482522147,,,,,
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,1702295676184106690,-13.841464,-1.707317,0.97561,-0.222351,-0.838013,-0.633606,7.799678267134311,85.69772747419444,,,,,
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,1702295676189046690,-13.719513,-1.280488,1.219512,-0.22345,-0.843018,-0.636963,7.901363143328666,85.21716017956834,,,,,
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,1702295676193986690,-13.536586,-0.853659,1.707317,-0.222046,-0.845581,-0.638672,8.004298677998747,84.73749982656807,,,,,
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,1702295676198926690,-13.231708,-0.365854,1.829268,-0.218445,-0.845032,-0.63855,8.10806165732842,84.25919346110334,,,,,
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,1702295676203866690,-12.743903,0.182927,2.012195,-0.22229,-0.840271,-0.635742,8.216665731743092,83.78410532222142,,,,,
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,1702295676208806690,-12.317074,0.609756,2.195122,-0.226379,-0.839172,-0.640991,8.32919428458814,83.31187328825223,,,,,
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,1702295676213746690,-12.073171,1.097561,2.439024,-0.22821,-0.840698,-0.644165,8.444734859323347,82.84128963263817,,,,,
258c2484-30a1-4ad9-a308-690055867261,1fea9744-3b46-45ca-90b4-84a38ef39776,1702295676218686690,-12.134147,1.52439,2.439024,-0.224365,-0.841553,-0.648132,8.560533454536625,82.37022621844784,,,,,
